,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
0,TSLA230714C00020000,2023-07-03 13:32:41+00:00,20.0,274.42999267578125,253.05,255.7,0.0,0.0,5.0,12.0,11.367190395507812,True,REGULAR,USD,0,2023-07-14
1,TSLA230714C00030000,2023-07-07 18:33:43+00:00,30.0,274.42999267578125,243.05,245.75,248.8,,1.0,3.0,9.511722805175783,True,REGULAR,USD,0,2023-07-14
2,TSLA230714C00040000,2023-07-07 13:33:33+00:00,40.0,274.42999267578125,233.05,235.75,240.1,,1.0,0.0,8.216801739501951,True,REGULAR,USD,0,2023-07-14
3,TSLA230714C00050000,2023-07-07 19:44:29+00:00,50.0,274.42999267578125,223.05,225.75,224.76,,52.0,0.0,7.2500009375,True,REGULAR,USD,0,2023-07-14
4,TSLA230714C00060000,2023-07-06 14:44:14+00:00,60.0,274.42999267578125,213.1,215.75,216.1,,,4.0,6.478517526855469,True,REGULAR,USD,0,2023-07-14
5,TSLA230714C00070000,2023-07-05 15:40:42+00:00,70.0,274.42999267578125,203.1,205.8,209.8,,,2.0,3.50000125,True,REGULAR,USD,0,2023-07-14
6,TSLA230714C00080000,2023-07-05 15:40:21+00:00,80.0,274.42999267578125,193.1,195.8,199.65,,,2.0,3.156252109375,True,REGULAR,USD,0,2023-07-14
7,TSLA230714C00085000,2023-07-06 14:27:42+00:00,85.0,274.42999267578125,188.1,190.8,189.73,,,13.0,3.0156274609375,True,REGULAR,USD,0,2023-07-14
8,TSLA230714C00100000,2023-07-07 19:56:46+00:00,100.0,274.42999267578125,173.1,175.8,-0.44000244,-0.25098535,1.0,53.0,2.6093784765625,True,REGULAR,USD,0,2023-07-14
9,TSLA230714C00105000,2023-07-06 14:27:42+00:00,105.0,274.42999267578125,168.15,170.3,0.0,0.0,13.0,14.0,3.902343994140625,True,REGULAR,USD,0,2023-07-14
10,TSLA230714C00110000,2023-07-07 16:30:35+00:00,110.0,274.42999267578125,163.15,165.8,1.550003,0.9264812,1.0,26.0,2.56250359375,True,REGULAR,USD,0,2023-07-14
